"Question","Answer"
"What is reflection?","The change in direction of light at a surface that causes it to bounce back."
"What is a mirror?","A surface that reflects light."
"What is a concave mirror?","A mirror that curves inward, used to converge light rays."
"What is the focal length?","The distance between the mirror and the point where light rays converge."
"What is the principal focus (F)?","The point where light rays converge after reflecting off a concave mirror."
"What is the centre of curvature (C)?","The point that is equidistant from all points on the mirror's surface."
"What is the pole (P)?","The point on the mirror where the axis of symmetry intersects the surface."
"What is the formula for the focal length of a concave mirror?","f = R/2, where R is the radius of curvature."
"What is the relationship between object distance, image distance, and focal length?","1/u + 1/v = 1/f, where u is the object distance, v is the image distance, and f is the focal length."
"What type of image can a concave mirror produce?","A real, inverted image of an object."
"What is the focal length of a concave mirror in terms of the radius of curvature?","Half the radius of curvature."
"Where do light rays converge in a concave mirror?","At the principal focus."
