"Question","Answer"
"What are the two main types of mirrors?","Plane mirrors and spherical mirrors"
"What is a plane mirror?","A mirror with a flat surface"
"What is a spherical mirror?","A mirror with a curved surface"
"What are the two types of spherical mirrors?","Concave and convex mirrors"
"What is a concave mirror?","A mirror with a curved surface that is inward-facing"
"What is a convex mirror?","A mirror with a curved surface that is outward-facing"
"What is the focal length (f)?","The distance between the mirror's pole and its focal point"
"What is the center of curvature (C)?","The point equidistant from every point on the mirror's surface"
"What is the principal axis?","The line passing through the mirror's pole and center of curvature"
"How is the image formed by a spherical mirror determined?","By the position of the object in relation to the mirror's focal point and center of curvature"
"What is the mirror formula?","1/v + 1/u = 1/f"
"What is the magnification formula?","m = h'/h = -v/u"
"What type of image is formed by a concave mirror when the object is beyond C?","Real and inverted"
"What type of image is formed by a convex mirror?","Virtual and upright"
"What is the relationship between the focal length and the radius of curvature?","The focal length is half the radius of curvature"
